Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Zendesk ID,Integration,Owned By,Owned By 2,Owned By 3
142077425,CMD+S and CMD+Enter do not save changes on reactified description,convert backbone views to react,206,"Mar 20, 2017","Mar 26, 2017",bug,,accepted,"Mar 20, 2017","Mar 21, 2017",,Chad Wagner,"1.  Edit the description of a story.
2.  Press CMD+S or CMD+Enter.

Expected:  The story is collapsed and the changes are saved.
Actual:  The description leaves its draft state, however the changes are not saved and the story is not collapsed.",https://www.pivotaltracker.com/story/show/142077425,,,Sarah Ehmann,Jeanette Head,Lisa Crispin
140423757,Commit messages can cause a horizontal scrollbar to appear,comment-styling,206,"Mar 20, 2017","Mar 26, 2017",bug,,accepted,"Feb 22, 2017","Mar 22, 2017",,Chad Wagner,"### [PR 1278](https://github.com/pivotaltracker/tracker/pull/1278)

You can see this behavior in the following story https://ondeck.pivotaltracker.com/story/show/140338779

1.  Add a commit with a long string that contains no spaces.

Expected:  Needs design.  We previously had a horizontal scrollbar appear much like in a code block.
Actual:  The text runs off the panel causing a horizontal scrollbar to appear.  See the attached image.",https://www.pivotaltracker.com/story/show/140423757,,,Sarah Ehmann,,
140856067,explore editing descriptions to discover any regression failures,"charter, convert backbone views to react",206,"Mar 20, 2017","Mar 26, 2017",chore,,accepted,"Mar 1, 2017","Mar 22, 2017",,Lisa Crispin,https://ondeck.pivotaltracker.com/story/show/140775189 is reactifying edit description. This is the charter to explore it for regressions.,https://www.pivotaltracker.com/story/show/140856067,,,Lisa Crispin,Chad Wagner,
142273301,Stories with a lot of activity causing typing to appear very slowly,comment-styling,206,"Mar 20, 2017","Mar 26, 2017",bug,,accepted,"Mar 22, 2017","Mar 23, 2017",,Chad Wagner,"### [PR 1298](https://github.com/pivotaltracker/tracker/pull/1298)

This requires a story with many comments.  You can import the attached .csv to create a story that exhibits this behavior.

1.  Expand the story with many comments.  
2.  Begin typing in the comments field.

Expected:  Keystrokes are added immediately.
Actual:  Adding text is incredibly slow.

Appears to happen only with new comment styling, though with old comment styling, we feel like we can detect a tiny amount of slowness. 

Per Ben, turning on the react dev tool thingie shows too many things re-rendering. 

Branch: `142273301-activity-performance`",https://www.pivotaltracker.com/story/show/142273301,,,Matthew Conger-Eldeen,Sarah Ehmann,
138675345,Move CommentDelete to result processing,"command town, github attachments, needs heidmo, results processing",206,"Mar 20, 2017","Mar 26, 2017",feature,1,accepted,"Jan 30, 2017","Mar 23, 2017",,Matthew Conger-Eldeen,"### [PR 1173](https://github.com/pivotaltracker/tracker/pull/1173)

Branch: `138675345-comment-delete-results`",https://www.pivotaltracker.com/story/show/138675345,,,Matthew Conger-Eldeen,Benjamin Cutler,
142256093,Story flyovers on story links don't work in single story view,"production, state previews on story links",229,"Aug 28, 2017","Sep 3, 2017",bug,,accepted,"Mar 22, 2017","Aug 30, 2017",,Joanne Webb,"Steps one www or on deck:

1. Create a story, add a comment with a link to another story
2. Open that story in single story view (either via URL or by clicking the arrow button in the expanded story)
3. Hover over the link

Expected: Flyover with details of the linked story (the same as yours still get when in an expanded story in a panel

Actual: Nada

This broke and was fixed previously: https://ondeck.pivotaltracker.com/story/show/127820687

Here's a story that demo's problem:
www https://www.pivotaltracker.com/n/projects/808147/stories/140895959
on deck https://ondeck.pivotaltracker.com/n/projects/808147/stories/140895959",https://www.pivotaltracker.com/story/show/142256093,,,Best Friend,Jeanette Head,
150646012,Long username looks weird in comments,,229,"Aug 28, 2017","Sep 3, 2017",bug,,accepted,"Aug 29, 2017","Aug 30, 2017",,Piper Niehaus,"See screenshot

![](https://ondeck.pivotaltracker.com/file_attachments/83738685/download?inline=true&size=big)",https://www.pivotaltracker.com/story/show/150646012,,,Jeanette Head,Best Friend,
150655749,code section looks ridiculous in projector mode 😂  🤣,github integration,229,"Aug 28, 2017","Sep 3, 2017",bug,,accepted,"Aug 29, 2017","Aug 30, 2017",,Jeanette Head,,https://www.pivotaltracker.com/story/show/150655749,,,Best Friend,Jeanette Head,
150650628,Use the viewstore for all relevant attributes in code section,"architecture, tech debt",229,"Aug 28, 2017","Sep 3, 2017",chore,,accepted,"Aug 29, 2017","Aug 30, 2017",,Matthew Conger-Eldeen,"Attributes that should be in the view store (but not limited to): `commit_picker_open`, `pr_picker_open_`, `branch_creator_open_`, `branchName_`, `branch_create_done_`, `branch_creation_error_`.
",https://www.pivotaltracker.com/story/show/150650628,,,Matthew Conger-Eldeen,Jeanette Head,
150621227,"Only show ""Pull Request"" section if there is a PR",github pr,229,"Aug 28, 2017","Sep 3, 2017",bug,,accepted,"Aug 28, 2017","Aug 30, 2017",,Matthew Heidemann,"It's odd that ""Pull Requests"" section hangs out if there are no pull requests",https://www.pivotaltracker.com/story/show/150621227,,,Jeanette Head,,
150696032,code section looks ridiculous in single story view,github integration,229,"Aug 28, 2017","Sep 3, 2017",bug,,accepted,"Aug 30, 2017","Aug 30, 2017",,Jeanette Head,"whoever did #150655749 didn't do it right and used the wrong classes and now things look more ridiculous in single story mode.

Yeah, that was me.",https://www.pivotaltracker.com/story/show/150696032,,,Jeanette Head,,
150715701,Cleanup formatting for capabilities.rb,,229,"Aug 28, 2017","Sep 3, 2017",chore,,accepted,"Aug 31, 2017","Aug 31, 2017",,Matthew Conger-Eldeen,,https://www.pivotaltracker.com/story/show/150715701,,,Lisa Crispin,Matthew Conger-Eldeen,
150620606,Clicking cancel in add a branch removes existing pull requests,"github integration, github pr",229,"Aug 28, 2017","Sep 3, 2017",bug,,accepted,"Aug 28, 2017","Aug 31, 2017",,Matthew Heidemann,"1. Look for a story with a pull request
2. Click add a branch
3. Cancel branch modal

Expect: To see PR
Actual: PR is missing.",https://www.pivotaltracker.com/story/show/150620606,,,Matthew Conger-Eldeen,Jeanette Head,
150620019,Long project names no longer ellipsify for non-public projects,,229,"Aug 28, 2017","Sep 3, 2017",bug,,accepted,"Aug 28, 2017","Aug 31, 2017",,Chad Wagner,"1.  Find a non-public project.
2.  Change the project to have a really long name.
3.  Navigate to any non-stories page.

Expected:  The name has ellipses.
Actual:  The name has no ellipses.  This was introduced in the fix for https://ondeck.pivotaltracker.com/story/show/146886243",https://www.pivotaltracker.com/story/show/150620019,,,Matthew Conger-Eldeen,Benjamin Cutler,Best Friend
144743813,Tasks field is wonky in Firefox,,229,"Aug 28, 2017","Sep 3, 2017",bug,,accepted,"May 2, 2017","Aug 31, 2017",,Nathan E Swain,"...Borders are varying widths and the checkbox is off center. See image below. 

![Please see the attached screenshot](https://www.pivotaltracker.com/file_attachments/79279969/download?inline=true)

### dev-notes

Wasn't able to reproduce checkbox alignment issue w/ FF 54.0.1 (64-bit).",https://www.pivotaltracker.com/story/show/144743813,,,Best Friend,,
148156227,fetching github branches does not handle errors,"github component debt, github pr",229,"Aug 28, 2017","Sep 3, 2017",chore,,accepted,"Jun 30, 2017","Aug 31, 2017",,Best Friend,"services/github#selectRepository is missing this test/implementation

cf. #133873083",https://www.pivotaltracker.com/story/show/148156227,,,Jeanette Head,,
142617389,icon in project history for epics is a purple puzzle piece,production,229,"Aug 28, 2017","Sep 3, 2017",bug,,accepted,"Mar 28, 2017","Aug 31, 2017",,Lisa Crispin,Not sure what it should be - a shield?,https://www.pivotaltracker.com/story/show/142617389,,,Best Friend,,
150727910,result_processor sanity checks,,229,"Aug 28, 2017","Sep 3, 2017",chore,,accepted,"Aug 31, 2017","Aug 31, 2017",,Benjamin Cutler,"While trying to diagnose a bug, noticed two things:

1) `filterUnprocessableResults` should probably only have a whitelist, ie throw on unrecognized result types.
2) `sortResults` does not check for unrecognized result types if there is only one result, because the check happens in the sort comparison, and the sort comparison never fires if there is only one item in the array.

Fix both of these.",https://www.pivotaltracker.com/story/show/150727910,,,Benjamin Cutler,Jeanette Head,
150501370,Verify that retrying commands in the PullRequest service actually decreases webhook failures,github integration,229,"Aug 28, 2017","Sep 3, 2017",chore,,accepted,"Aug 23, 2017","Sep 1, 2017",,Matthew Heidemann,We implemented retry logic in the PR service as part of #150498907. Let's see if it actually decreases webhook failures.,https://www.pivotaltracker.com/story/show/150501370,,,Matthew Conger-Eldeen,,
